,CB-C-1,CB-C-4,CB-C-5,CB-C-6,CB-C-7,CB-C-8,CB-C-9,CB-C-10,CB-SA-1,CB-SA-2,CB-SA-3,CB-SA-4,CB-SA-5,CB-SA-6,CB-SA-7,CB-SA-8,CB-SA-11
#CLASS,Control,Control,Control,Control,Control,Control,Control,Control,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected,Infected
ENSG00000000003,19,1,44,2,1,3,3,0,1,0,2,2,2,1,3,20,0
ENSG00000000005,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0
ENSG00000000419,231,109,222,166,51,113,161,101,153,110,137,165,198,60,253,331,156
ENSG00000000457,27,23,33,34,11,20,40,19,31,21,32,69,48,25,52,78,37
ENSG00000000460,31,7,52,25,6,11,21,8,25,8,11,27,22,7,25,36,24
ENSG00000000938,1059,1299,1495,1557,1795,2286,2810,2152,3130,2189,1701,4081,2309,2004,4728,4694,2425
ENSG00000000971,4,0,9,1,0,3,2,1,1,1,3,11,3,1,2,15,8
ENSG00000001036,192,46,392,42,32,56,70,46,64,48,77,146,58,55,88,272,70
ENSG00000001084,69,38,161,604,34,79,127,79,242,213,74,73,76,44,130,92,147
ENSG00000001167,74,31,122,104,24,70,112,19,104,62,88,81,111,32,138,108,98
ENSG00000001460,13,3,30,18,8,8,13,28,20,11,12,24,13,9,17,36,12
ENSG00000001461,51,41,91,64,39,62,132,41,51,71,78,135,88,47,84,157,43
ENSG00000001497,151,43,256,71,48,43,84,55,82,63,80,109,112,41,76,291,55
ENSG00000001561,10,3,20,8,3,5,13,5,13,9,7,12,10,4,47,15,22
ENSG00000001617,42,0,103,1,1,0,0,0,0,0,0,0,2,1,0,63,7
ENSG00000001626,56,91,55,88,711,26,104,811,63,101,142,577,182,0,175,478,0
ENSG00000001629,42,25,56,36,8,25,46,13,22,25,37,51,51,11,60,91,67
ENSG00000001630,60,6,102,46,8,9,22,3,107,6,17,30,9,5,16,47,14
ENSG00000001631,72,22,77,104,29,51,88,59,80,69,105,87,141,63,105,178,52
ENSG00000002016,110,27,67,97,22,67,116,29,66,61,73,194,170,41,166,278,130
ENSG00000002079,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
ENSG00000002330,474,182,787,284,176,181,421,274,299,283,281,331,217,210,409,767,259
ENSG00000002549,92,62,158,47,29,56,76,24,78,36,93,349,91,99,81,170,71
ENSG00000002586,1034,720,1463,525,441,618,991,657,492,561,631,812,751,584,728,2381,417
ENSG00000002587,4,3,9,1,8,4,3,10,4,3,9,4,3,3,4,38,23
ENSG00000002726,19,0,4,3,1,1,8,3,55,1,4,23,6,1,1,236,3
ENSG00000002745,2,0,4,0,0,1,1,0,1,0,3,3,0,1,2,9,2
ENSG00000002746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
ENSG00000002822,248,606,473,584,454,483,830,780,574,1131,701,877,567,817,994,1744,416
ENSG00000002834,787,446,1333,1022,612,770,1055,999,1112,818,610,1777,1097,809,1303,1810,921
ENSG00000002919,110,99,215,150,162,100,245,143,163,89,115,344,176,111,253,567,105
ENSG00000002933,578,89,96,428,42,208,622,218,712,304,268,325,53,185,24,295,222
ENSG00000003056,597,483,971,505,223,533,778,358,525,428,605,954,744,574,841,1449,445
ENSG00000003096,1,1,1,0,0,1,2,0,3,0,1,2,2,0,2,2,1
ENSG00000003137,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0
ENSG00000003147,22,8,43,14,10,17,31,38,29,72,19,42,25,11,51,86,37
ENSG00000003249,56,3,67,4,7,21,27,4,7,2,14,23,4,2,13,42,49
ENSG00000003393,21,7,55,47,8,12,19,11,50,13,28,43,22,22,36,45,40
ENSG00000003400,63,53,82,86,39,79,133,84,103,58,83,130,118,59,163,229,78
ENSG00000003402,536,522,607,448,532,533,1227,716,1043,685,721,2376,1404,836,1674,1644,1098
ENSG00000003436,115,25,189,126,20,29,53,30,89,33,33,55,39,23,40,1156,68
ENSG00000003509,62,21,64,38,26,25,52,17,116,45,61,62,53,20,90,110,91
ENSG00000003756,506,504,868,1201,370,673,1281,468,1089,640,1140,1863,1315,658,1774,1978,1227
ENSG00000003987,4,1,4,9,2,4,10,3,12,2,3,5,9,1,9,21,3
ENSG00000003989,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0
ENSG00000004059,1046,1105,1805,1161,1000,1270,1769,1387,1127,1049,1063,1843,1219,1346,1912,2647,878
ENSG00000004139,8,1,19,5,3,15,13,3,3,1,3,17,12,6,10,21,2
ENSG00000004142,271,125,453,335,153,150,248,222,264,193,211,275,195,166,213,430,180
ENSG00000004399,309,167,471,78,140,146,200,204,214,228,72,249,144,132,136,904,162
ENSG00000004455,527,257,954,286,113,292,481,275,366,214,410,450,356,318,535,872,296
ENSG00000004468,59,32,44,40,19,40,131,19,50,49,74,110,61,59,111,167,67
ENSG00000004478,332,107,589,215,94,120,202,132,265,145,134,163,308,132,182,581,196
ENSG00000004487,241,81,450,109,70,95,130,98,119,84,121,163,143,82,120,392,99
ENSG00000004534,149,138,223,417,182,129,234,201,305,164,196,379,291,173,416,1049,236
ENSG00000004660,25,25,35,21,22,35,56,19,39,17,33,106,43,30,62,110,40
ENSG00000004700,56,35,86,38,20,48,86,10,43,55,65,74,97,29,120,110,62
ENSG00000004766,41,35,100,164,22,27,88,20,108,39,62,62,87,28,91,103,61
ENSG00000004776,93,1,170,1,2,0,12,5,3,2,1,5,1,9,1,167,3
ENSG00000004777,99,12,179,174,34,27,75,105,18,164,26,67,37,66,103,182,136
ENSG00000004779,504,342,782,329,161,233,432,213,421,337,343,420,328,297,713,953,315
ENSG00000004799,2,0,8,2,1,6,11,1,18,5,13,56,28,3,8,148,4
ENSG00000004809,16,10,39,95,17,22,37,48,70,40,14,17,22,24,63,18,38
ENSG00000004838,4,6,5,6,9,8,9,28,18,16,7,10,17,2,36,48,14
ENSG00000004846,5,2,9,18,3,4,7,7,12,4,7,2,4,1,3,3,4
ENSG00000004848,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0
ENSG00000004864,39,23,68,32,7,15,31,10,39,20,34,52,27,24,67,58,39
ENSG00000004866,76,36,160,255,34,23,40,66,146,63,33,55,43,38,50,150,46
ENSG00000004897,231,114,628,1440,173,206,315,323,999,297,249,122,212,129,285,226,492
ENSG00000004939,14161,5614,17577,43624,12465,15098,21920,11582,31487,20186,19702,8203,13973,12500,15236,6671,21905
ENSG00000004948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
ENSG00000004961,123,50,230,79,34,41,84,33,122,43,71,93,59,84,81,107,61
ENSG00000004975,265,52,566,106,74,68,121,41,75,60,104,156,102,74,114,279,74
ENSG00000005001,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,11,0
ENSG00000005007,172,140,284,165,130,127,250,135,259,169,164,445,240,191,253,452,218
ENSG00000005020,148,140,156,123,60,102,122,127,216,131,106,350,254,77,282,308,223
ENSG00000005022,1803,824,3242,722,464,708,1165,586,861,586,860,1003,920,687,1313,2404,671
ENSG00000005059,272,239,322,214,162,272,563,105,264,259,447,639,387,253,434,760,202
ENSG00000005073,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,14,0
ENSG00000005075,1519,717,2408,2794,1371,1113,1259,2327,1006,1276,806,1694,1092,876,1381,1531,854
ENSG00000005100,38,10,67,18,11,15,33,8,20,17,25,34,32,11,29,54,22
ENSG00000005102,12,8,13,18,5,13,56,5,7,7,64,13,37,17,33,115,6
ENSG00000005108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
ENSG00000005156,72,28,85,60,17,54,82,43,96,46,61,151,72,49,152,196,92
