Series15_HealthyLungBiopsy_1,Series15_HealthyLungBiopsy_2,Series15_COVID19Lung_1,Series15_COVID19Lung_2
DDX11L1,0,0,0,0
WASH7P,140,261,0,0
FAM138A,0,0,0,0
FAM138F,0,0,0,0
OR4F5,0,0,0,0
LOC729737,70,15,0,17
LOC100132287,0,0,0,0
LOC100132062,0,0,0,0
LOC100133331,21,11,0,0
OR4F29,0,0,0,0
OR4F16,0,0,0,0
OR4F3,0,0,0,0
LOC100288069,6,4,0,0
LINC00115,46,51,0,0
FAM41C,0,0,0,0
SAMD11,5,25,0,0
NOC2L,1989,1083,1,0
KLHL17,176,57,0,0
PLEKHN1,44,7,0,0
HES4,302,310,0,12
ISG15,4081,1398,324,2231
AGRN,795,648,1,45
RNF223,16,0,0,0
C1orf159,209,153,0,0
MIR200B,0,0,0,0
MIR200A,0,0,0,0
MIR429,1,0,0,0
TTLL10,13,11,0,0
TNFRSF18,266,60,0,2
TNFRSF4,273,51,0,8
SDF4,2593,2091,8,49
B3GALT6,408,316,0,16
UBE2J2,1435,1025,0,2
SCNN1D,9,57,0,0
ACAP3,153,241,0,0
PUSL1,209,105,0,2
TAS1R3,4,19,0,0
DVL1,679,308,0,1
MXRA8,160,1026,0,4
AURKAIP1,1874,1900,1,22
CCNL2,5361,4966,2,1
LOC148413,362,287,0,3
MRPL20,2141,1496,6,4
ANKRD65,64,48,0,0
TMEM88B,0,0,0,0
VWA1,262,997,0,21
ATAD3C,15,103,0,3
ATAD3B,679,646,0,0
ATAD3A,830,297,0,0
TMEM240,11,35,0,0
SSU72,2585,2621,5,117
MIB2,152,199,1,0
MMP23B,0,1,0,0
MMP23A,0,0,0,0
CDK11B,576,900,0,2
SLC35E2B,314,322,0,7
CDK11A,234,379,0,0
NADK,1380,1312,10,120
GNB1,14572,9491,53,716
CALML6,3,3,0,0
TMEM52,11,19,0,0
GABRD,2,24,0,0
PRKCZ,516,414,0,0
SKI,1059,648,0,60
MORN1,19,58,0,0
LOC100129534,17,8,0,0
RER1,4010,1787,0,61
PEX10,52,160,0,0
PLCH2,16,0,0,0
PANK4,1014,300,0,0
HES5,15,4,0,0
TNFRSF14,3523,1798,2,10
FAM213B,414,261,0,5
MMEL1,162,23,0,0
TTC34,1,0,0,0
ACTRT2,0,0,0,0
PRDM16,518,135,0,4
MIR4251,4,0,0,0
ARHGEF16,35,25,0,7
MEGF6,244,388,0,18
MIR551A,0,0,0,0
TPRG1L,1705,1456,1,0
WRAP73,814,282,0,1
TP73,36,14,0,5
TP73-AS1,324,538,0,0
CCDC27,0,0,0,0
SMIM1,18,8,0,0
LRRC47,808,697,0,0
CEP104,341,194,0,0
DFFB,82,127,0,0
C1orf174,450,237,0,6
AJAP1,123,9,0,0
MIR4689,0,0,0,0
NPHP4,304,193,0,2
KCNAB2,541,559,0,0
CHD5,10,36,0,0
RPL22,7401,7614,11,225
RNF207,68,78,0,0
ICMT,495,733,0,12
HES3,0,0,0,0
GPR153,80,204,0,0
ACOT7,399,682,0,8
HES2,44,34,0,0
ESPN,3,2,0,0
MIR4252,0,0,0,0
TNFRSF25,403,203,0,0
PLEKHG5,209,153,0,0
NOL9,531,356,0,12
TAS1R1,2,5,0,0
ZBTB48,472,468,0,5
KLHL21,2531,722,1,3
PHF13,1823,405,0,1
THAP3,810,317,0,5
DNAJC11,475,210,0,0
CAMTA1,3791,1294,6,136
VAMP3,3848,4273,4,74
PER3,995,378,0,0
UTS2,8,29,0,0
TNFRSF9,394,44,0,0
PARK7,5177,3333,10,69
ERRFI1,24518,2580,0,12
SLC45A1,11,74,0,0
RERE,2200,2246,0,39
ENO1,103654,15919,37,463
ENO1-AS1,2,3,0,0
CA6,4,0,0,0
SLC2A7,0,0,0,0
SLC2A5,135,62,0,0
GPR157,22,0,0,0
MIR34A,11,0,0,0
H6PD,795,1370,0,21
SPSB1,3079,3018,3,59
SLC25A33,876,495,3,0
TMEM201,242,227,0,0
