,fold-change 24h,fold-change 48h
AKR1B1,-15.361250356131508,-15.611983740798793
ALDH4A1,-12.363493126981895,-12.793990298294842
CBR1,-15.35137319252424,-15.560305147656123
COMT,-14.73085222545015,-14.837203052038381
DBH,inf,inf
DDC,-14.212414541765142,-14.671734548243844
DHFR,-14.295309790345788,-15.313645359863091
DYRK1B,-13.150945998371654,-13.470341343480138
FAH,-14.68374849448335,-15.37383503898135
FPGS,-13.486154783914921,-13.837828101354075
GART,-15.084554635491925,-15.775464783098135
GGH,-15.725227256730465,-16.322809720978462
GLUD1,-15.603189033153711,-16.264178630334452
GLUD2,-14.054873264778664,-14.993662643131206
GOT1,-15.503509825566823,-15.853093134208864
GPT,-12.542166853099017,-12.258953022905366
GPT2,-14.801999194873535,-15.063067501383554
GSTZ1,-15.390438437010506,-15.473254746851724
HGD,-15.052060078887171,-15.574378172752178
HNF1A,-12.935574336406319,-12.601345220352446
HPD,-13.720835487613304,-13.896801103878618
MAOA,-15.398956664256179,-15.93606634179177
MAOB,-15.592988631475766,-16.364722445349447
MDH1,-15.31501054854216,-15.665238015195499
MTHFD1,-14.22081566409744,-15.106680186326866
MTHFD1L,-15.51306558769634,-15.687248357413067
PAH,0,0
PCBD1,-15.327320734027854,-15.669765465901527
PCBD2,-14.636502855175799,-15.277073184996786
PTS,-16.510801510524757,-16.768455206187703
QDPR,-15.751635953814821,-16.12678917311722
SHMT1,-14.221859387549593,-14.906892173656352
SHMT2,-13.917237031072176,-13.758604699558946
SORD,-15.153323494835742,-15.658576830595255
SPR,-15.623599884173712,-15.422950628015995
TAT,-16.187961498040604,-15.402036412129037
TH,0,inf
TPH1,-13.151303027461756,-15.601345220352446
TPH2,-12.581937381791617,-15.601345220352446
TYMS,-15.477065334057349,-16.44979874822499
UAP1L1,-14.182120619451544,-13.789597500538289
ADSS,-15.638965358081014,-16.51687972864643
ADSSL1,-15.612035191612971,-15.947315967168311
ALPI,0,0
ALPL,-11.998584133932118,-11.86437962618624
ALPP,inf,0
ALPPL2,inf,inf
AMPD1,-16.27260932368389,-16.694454624743926
ATIC,-16.121404931628792,-16.555002373445888
ENPP1,-15.383033313377538,-16.420772974710626
ENTPD5,-14.662664387402856,-15.94618770718781
ENTPD6,-13.565575160578298,-13.847614743706833
GCH1,-15.014234926438435,-15.54169041545907
GCHFR,-14.143181682906324,-13.715852201025776
GMPR,-15.798377177736675,-15.415938968640182
GMPR2,-15.064910363402213,-15.454257617321513
GMPS,-15.413299303280546,-16.142597570362526
GPHN,-14.779762982832963,-15.543214391125002
GUK1,-14.71186440932463,-14.730201563088622
IBSP,0,inf
IMPDH1,-13.091492479854752,-13.683393467174518
IMPDH2,-15.672198745279731,-15.94595061481575
ITPA,-13.94212669139231,-14.024512077916107
MOCS1,-15.045627881871232,-15.454240926320235
MOCS2,-16.146410256085385,-16.56287107253781
NME7,-15.73217794714462,-16.2496618138235
NUDT16,-14.209826644121069,-14.83886553874596
SUOX,-14.547231703792896,-14.993482317521211
THY1,-14.179499919292407,-14.115918393182202
TPMT,-15.366619402660604,-15.857928879974189
TYR,inf,inf
