gene_id,replicate1 24h,replicate2 24h,replicate1 48h,replicate2 48h,mock,24h mean,48h mean,mock mean,24h norm,48h norm,mock norm,fold-change 24h,fold-change 48h
A1BG,42,19,29,22,2,30.5,25.5,2.0,0.0008651500538945935,0.000683921147914711,0.00011284134506883322,-11.174762000285744,-11.513882379102107
A1CF,1,2,2,2,0,1.5,2.0,0.0,4.2548363306291484e-05,5.364087434625184e-05,0.0,inf,inf
A2M,51,68,48,38,71,59.5,43.0,71.0,0.0016877517444828956,0.0011532787984444147,0.004005867749943579,-15.360428694045368,-15.909790085876185
A2ML1,494,509,147,458,149,501.5,302.5,149.0,0.01422533613207012,0.00811318224487059,0.008406680207628074,-13.354561967698611,-14.164684909373806
A3GALT2,0,0,2,0,0,0.0,1.0,0.0,0.0,2.682043717312592e-05,0.0,0,inf
A4GALT,6985,3392,6087,5847,746,5188.5,5967.0,746.0,0.14717478867646225,0.16003754861204236,0.04208982171067479,-12.307429359009783,-12.186549479773939
A4GNT,1,1,1,0,0,1.0,0.5,0.0,2.8365575537527657e-05,1.341021858656296e-05,0.0,inf,inf
AAAS,2236,1447,1645,1445,806,1841.5,1545.0,806.0,0.05223520735235718,0.04143757543247955,0.04547506206273979,-13.913469684476858,-14.247552626809831
AACS,1719,1675,1407,1370,807,1697.0,1388.5,807.0,0.04813638168718443,0.03724017701488534,0.04553148273527421,-14.033153351583747,-14.403421122532537
AADAC,139,144,195,181,275,141.5,188.0,275.0,0.004013728938560163,0.005042242188547674,0.015515684946964568,-16.06412890342877,-15.735006677807988
AADACL2,69,92,29,42,60,80.5,35.5,60.0,0.0022834288307709764,0.0009521255196459702,0.003385240352064997,-14.681473055342531,-15.943451197177437
AADACL3,1,0,0,0,0,0.5,0.0,0.0,1.4182787768763829e-05,0.0,0.0,inf,0
AADACL4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
AADAT,393,496,258,197,723,444.5,227.5,723.0,0.012608498326431043,0.006101649456886148,0.04079214624238321,-15.807311565969979,-16.854436822938663
AAED1,283,305,230,185,563,294.0,207.5,563.0,0.008339479208033131,0.005565240713423629,0.03176483863687655,-16.042818105092497,-16.626331306919546
AAGAB,1804,1802,1301,1221,2145,1803.0,1261.0,2145.0,0.05114313269416237,0.03382057127531179,0.12102234258632363,-15.356077588803197,-15.952717093132291
AAK1,1067,1513,832,757,1886,1290.0,794.5,1886.0,0.036591592443410675,0.021308837334048546,0.10640938839990972,-15.653457948213111,-16.43351827240018
AAMDC,231,144,280,190,545,187.5,235.0,545.0,0.0053185454132864355,0.006302802735684592,0.030749266531257053,-16.644864972129675,-16.399903194172893
AAMP,4133,2715,3156,2757,735,3424.0,2956.5,735.0,0.09712373064049469,0.07929462250234678,0.041469194312796206,-12.885632791171211,-13.178233599032685
AANAT,13,5,2,12,3,9.0,7.0,3.0,0.0002552901798377489,0.00018774306021188144,0.00016926201760324982,-13.520536837127475,-13.963915299737154
AAR2,1483,1280,1303,1232,606,1381.5,1267.5,606.0,0.03918704260509446,0.033994904116937105,0.03419092755585647,-13.91665347450909,-14.12171167265585
AARD,1,0,1,0,0,0.5,0.5,0.0,1.4182787768763829e-05,1.341021858656296e-05,0.0,inf,inf
AARS,5447,4803,6410,5406,5295,5125.0,5908.0,5295.0,0.14537357462982925,0.15845514281882794,0.29874746106973593,-15.15257801744816,-15.028268579188511
AARS2,706,488,454,433,392,597.0,443.5,392.0,0.016934248595904013,0.011894863886281347,0.022116903633491312,-14.498622060699034,-15.008227270887748
AARSD1,1,0,2,0,2,0.5,1.0,2.0,1.4182787768763829e-05,2.682043717312592e-05,0.00011284134506883322,-17.10549933784863,-16.1863077210736
AASDH,638,888,435,499,1018,763.0,467.0,1018.0,0.0216429341351336,0.012525144159849805,0.05743624464003611,-15.521481937089797,-16.310550827439638
AASDHPPT,1431,2003,987,1039,2149,1717.0,1013.0,2149.0,0.04870369319793499,0.02716910285637656,0.1212480252764613,-15.42927478127428,-16.271339029700247
AASS,622,991,461,410,1044,806.5,435.5,1044.0,0.022876836671016056,0.01168030038889634,0.05890318212593094,-15.477874611262871,-16.447684809044624
AATF,1416,964,1322,1205,2372,1190.0,1263.5,2372.0,0.03375503488965791,0.0338876223682446,0.1338298352516362,-16.100641774199328,-16.09498606667483
AATK,33,17,25,20,1,25.0,22.5,1.0,0.0007091393884381915,0.0006034598363953333,5.642067253441661e-05,-10.461643148073906,-10.694454624743926
ABAT,1259,1193,729,880,1049,1226.0,804.5,1049.0,0.03477619560900891,0.021577041705779804,0.05918528548860302,-14.880555036735117,-15.569158072927424
ABCA1,450,845,218,301,599,647.5,259.5,599.0,0.01836671016054916,0.006959903446426176,0.03379598284811555,-14.9931751480635,-16.393129185504506
ABCA10,122,148,86,71,115,135.0,78.5,115.0,0.003829352697566234,0.0021054043180903847,0.006488377341457911,-14.874173791742173,-15.73717702312635
ABCA12,552,1115,408,569,424,833.5,488.5,424.0,0.0236427072105293,0.013101783559072013,0.023922365154592642,-14.130381403425414,-14.982013423668416
ABCA13,23961,47378,9730,12752,9894,35669.5,11241.0,9894.0,1.0117858966358428,0.3014885342631085,0.5582261340555179,-13.255434149601667,-15.002163142181955
ABCA2,2449,2171,1404,1458,418,2310.0,1431.0,418.0,0.06552447949168888,0.038380045594743194,0.023583841119386145,-12.639181333626095,-13.410858896427818
ABCA3,166,124,116,89,58,145.0,102.5,58.0,0.00411300845294151,0.002749094810245407,0.0032723990069961633,-13.78357124296127,-14.364808616695727
ABCA4,248,284,209,211,371,266.0,210.0,371.0,0.007545243092982356,0.005632291806356444,0.02093206951026856,-15.585492278968244,-16.00733758002828
ABCA5,2235,3929,1391,1371,2706,3082.0,1381.0,2706.0,0.08742270380666024,0.0370390237360869,0.15267433987813134,-14.917794315310381,-16.156756240792088
ABCA6,33,49,12,20,23,41.0,16.0,23.0,0.0011629885970386338,0.00042912699477001473,0.001297675468291582,-14.27150928928756,-15.709869677130616
ABCA7,2439,1984,1856,1663,662,2211.5,1759.5,662.0,0.06273047030124242,0.04719055920611506,0.037350485217783794,-13.365377217757196,-13.776045329131154
ABCA8,0,3,0,0,0,1.5,0.0,0.0,4.2548363306291484e-05,0.0,0.0,inf,0
ABCA9,85,127,96,110,114,106.0,103.0,114.0,0.0030067510069779315,0.00276250502883197,0.006431956668923494,-15.210468897450173,-15.332697208055126
ABCB1,2,2,2,4,7,2.0,3.0,7.0,5.6731151075055314e-05,8.046131151937777e-05,0.00039494470774091627,-16.912854259906233,-16.40870014241005
ABCB10,1171,1542,887,803,1167,1356.5,845.0,1167.0,0.03847790321665626,0.022663269411291403,0.06584292484766419,-14.888414851274113,-15.652089035611402
ABCB11,414,539,179,212,177,476.5,195.5,177.0,0.013516196743631928,0.005243395467346118,0.00998645903859174,-13.676772484021685,-15.042888473849246
ABCB4,10,21,4,6,10,15.5,5.0,10.0,0.00043966642083167866,0.00013410218586562962,0.0005642067253441661,-14.473231122349118,-16.1863077210736
ABCB5,5,6,2,4,14,5.5,3.0,14.0,0.0001560106654564021,8.046131151937777e-05,0.0007898894154818325,-16.453422641268936,-17.40870014241005
ABCB6,1397,1090,1317,1070,1232,1243.5,1193.5,1232.0,0.03527259318091564,0.03201019176612579,0.06951026856240126,-15.092095086326625,-15.232111410686727
ABCB7,822,951,547,570,1768,886.5,558.5,1768.0,0.02514608271401827,0.014979214161190827,0.09975174904084856,-16.101425076341375,-16.848796809981717
ABCB8,1536,894,1049,882,228,1215.0,965.5,228.0,0.0344641742780961,0.025895132090653077,0.012863913337846988,-12.69164875352023,-13.104065286287693
ABCB9,158,112,117,93,44,135.0,105.0,44.0,0.003829352697566234,0.002816145903178222,0.002482509591514331,-13.488115359435097,-13.931493822044775
ABCC1,5301,5988,3353,3868,2843,5644.5,3610.5,2843.0,0.16010949112157485,0.09683518841357114,0.16040397201534642,-14.11606764673712,-14.841523177555477
ABCC10,1450,1169,928,904,116,1309.5,916.0,116.0,0.03714472116639247,0.024567520450583344,0.0065447980139923265,-11.608679988625607,-12.205084928104231
ABCC11,5,14,5,6,11,9.5,5.5,11.0,0.00026947296760651275,0.00014751240445219258,0.0006206273978785827,-15.317003443042342,-16.1863077210736
ABCC12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
ABCC2,191,198,139,143,231,194.5,141.0,231.0,0.005517104442049129,0.003781681641410755,0.013033175355450236,-15.353622034278496,-15.898505410090864
ABCC3,1140,1017,789,1007,980,1078.5,898.0,980.0,0.03059227321722358,0.024084752581467077,0.05529225908372828,-14.967326815690747,-15.312374025335025
ABCC4,577,838,396,416,792,707.5,406.0,792.0,0.020068644692800817,0.010889097492289125,0.04468517264725796,-15.268269620208994,-16.150328423968034
ABCC5,7455,9860,3878,4423,5366,8657.5,4150.5,5366.0,0.2455749702161457,0.11131822448705914,0.30275332881967953,-14.415395910024563,-15.556869631003012
ABCC6,1154,996,679,704,357,1075.0,691.5,357.0,0.030492993702842232,0.018546332305216576,0.02014218009478673,-13.515158657400908,-14.232502543952208
ABCC8,0,1,0,0,3,0.5,0.0,3.0,1.4182787768763829e-05,0.0,0.00016926201760324982,-17.69046183856979,inf
ABCC9,108,180,73,120,131,144.0,96.5,131.0,0.004084642877403982,0.0025881721872066514,0.007391108102008576,-14.968997337943769,-15.62727368534297
ABCD1,251,132,210,213,8,191.5,211.5,8.0,0.005432007715436546,0.005672522462116133,0.0004513653802753329,-10.524298755923674,-10.461793867953652
ABCD2,164,269,101,104,184,216.5,102.5,184.0,0.006141147103874737,0.002749094810245407,0.010381403746332656,-14.870838079178919,-16.03038957762517
ABCD3,4317,5743,2949,2941,5814,5030.0,2945.0,5814.0,0.14267884495376412,0.07898618747485583,0.3280297901150982,-15.314472009291979,-16.167571158492017
ABCD4,1485,1223,1180,1010,1405,1354.0,1095.0,1405.0,0.03840698927781245,0.029368378704572883,0.07927104491085533,-15.158841729381923,-15.545946981693355
ABCE1,1977,2993,1417,1637,2796,2485.0,1527.0,2796.0,0.07048845521075622,0.04095480756336328,0.15775220040622884,-15.27561784677442,-16.058972019652188
ABCF1,2538,2248,2600,2575,2547,2393.0,2587.5,2547.0,0.06787882226130368,0.06939788118546332,0.1437034529451591,-15.195477900584326,-15.163547818073745
ABCF2,1950,1802,1453,1312,1328,1876.0,1382.5,1328.0,0.05321381970840188,0.03707925439184659,0.07492665312570526,-14.60709465668018,-15.128283387298458
ABCF3,2276,1722,1839,1612,1400,1999.0,1725.5,1400.0,0.05670278549951779,0.04627866434222878,0.07898894154818326,-14.591647692936332,-14.884720074470415
